stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.032543600000281,,0.015957699999944452,0.032543600000281,0.516863000000285,0.516863000000285,0.5331334000002244,0.5850829000000886,right,10.0,0,0,0.06128930000022592,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
1,1,12.0,0.5999988000003214,,0.5852088000001459,0.5999988000003214,1.1004932000000736,1.1004932000000736,1.1004932000000736,1.2055350999999064,left,-12.0,1,1,0.09586560000025202,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
2,1,11.0,1.2187108000002809,,1.2056351999999606,1.2187108000002809,1.716493100000207,1.716493100000207,1.7336021999999502,1.8010363000003053,right,11.0,0,0,0.06990990000031161,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
3,1,12.0,1.815606800000296,,1.8011890000002495,1.815606800000296,2.3167427000003045,2.3167427000003045,2.3167427000003045,2.3846935999999914,left,-12.0,1,1,0.05189100000006874,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
4,1,12.0,2.399497599999904,,2.384827700000187,2.399497599999904,2.899325200000021,2.899325200000021,2.899325200000021,2.950066300000344,right,12.0,0,0,0.044333499999993364,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
5,1,13.0,2.9658088999999563,,2.9501608999999007,2.9658088999999563,3.449774800000341,3.449774800000341,3.4669536000001244,3.5007039000001896,right,13.0,0,0,0.042604300000220974,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
6,1,14.0,3.5164331000000857,,3.5008207000000766,3.5164331000000857,3.9991009000000304,3.9991009000000304,4.016372099999899,4.067552800000158,left,-14.0,1,1,0.0555026000001817,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
7,1,14.0,4.082820999999967,,4.067682899999909,4.082820999999967,4.581819700000324,4.581819700000324,4.581819700000324,4.616084000000228,left,-14.0,1,1,0.025669399999969755,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
8,0.5,14.0,4.632004000000052,,4.616152099999908,4.632004000000052,5.132125800000267,5.132125800000267,5.149673299999904,5.183870100000149,left,-14.0,1,1,0.04306640000004336,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
9,0.5,13.5,5.199554700000135,,5.184000400000059,5.199554700000135,5.699243100000331,5.699243100000331,5.699243100000331,5.751903200000015,left,-13.5,1,1,0.047919200000251294,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
10,0.5,13.5,5.768260499999997,,5.752020800000082,5.768260499999997,6.265639300000203,6.265639300000203,6.265639300000203,6.284697999999935,left,-13.5,1,1,0.013946900000064488,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
11,0.5,13.5,6.299267200000031,,6.284817900000235,6.299267200000031,6.799270200000137,6.799270200000137,6.799270200000137,6.850793300000078,right,13.5,0,0,0.03568150000000969,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
12,0.5,14.0,6.86483730000009,,6.85097050000013,6.86483730000009,7.365460100000291,7.365460100000291,7.365460100000291,7.400492799999938,right,14.0,0,0,0.029898700000103418,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
13,0.5,14.5,7.41549490000034,,7.400606600000174,7.41549490000034,7.898566700000174,7.898566700000174,7.915789099999984,8.00045530000034,left,-14.5,1,1,0.08570229999986623,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
14,0.5,14.5,8.015693300000294,,8.00056590000031,8.015693300000294,8.51563920000035,8.51563920000035,8.51563920000035,8.550439099999949,left,-14.5,1,1,0.018634000000020023,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
15,0.5,14.5,8.565347499999916,,8.55056820000027,8.565347499999916,9.064870100000007,9.064870100000007,9.064870100000007,9.084161799999947,right,14.5,0,0,0.015084900000147172,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
16,0.5,15.0,9.098481300000003,,9.084268200000224,9.098481300000003,9.599055000000135,9.599055000000135,9.599055000000135,9.649922600000082,right,15.0,0,0,0.037941200000204844,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
17,0.5,15.5,9.665458899999976,,9.650061700000151,9.665458899999976,10.14843400000018,10.14843400000018,10.164429700000255,10.233349900000121,left,-15.5,1,1,0.07249410000031276,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
18,0.5,15.5,10.248865900000055,,10.233457499999986,10.248865900000055,10.748747300000105,10.748747300000105,10.748747300000105,10.8156855000002,left,-15.5,1,1,0.059733199999755016,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
19,0.5,15.5,10.831342400000267,,10.815792500000043,10.831342400000267,11.315336800000296,11.315336800000296,11.33191590000024,11.382815500000106,right,15.5,0,0,0.06004669999992984,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
20,0.5,16.0,11.398666300000059,,11.382920300000023,11.398666300000059,11.881666100000075,11.881666100000075,11.897298800000044,11.966951899999913,left,-16.0,1,1,0.06962290000001303,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
21,0.5,16.0,11.981937900000048,,11.967079000000012,11.981937900000048,12.481880300000284,12.481880300000284,12.481880300000284,12.533265000000029,left,-16.0,1,1,0.034879499999988184,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
22,0.5,16.0,12.548156400000153,,12.533386099999916,12.548156400000153,13.048062700000173,13.048062700000173,13.048062700000173,13.099351500000012,right,16.0,0,0,0.04374229999984891,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
23,0.5,16.5,13.115102300000217,,13.099463999999898,13.115102300000217,13.615709100000004,13.615709100000004,13.615709100000004,13.666996500000096,left,-16.5,1,1,0.0456464999997479,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
24,0.5,16.5,13.68126540000003,,13.667120800000248,13.68126540000003,14.181458100000327,14.181458100000327,14.181458100000327,14.282688400000097,left,-16.5,1,1,0.08972270000003846,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
25,0.5,16.5,14.298846500000309,,14.282814099999996,14.298846500000309,14.797623599999952,14.797623599999952,14.797623599999952,14.882812900000317,right,16.5,0,0,0.07493509999994785,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
26,0.5,17.0,14.897925199999918,,14.882931500000268,14.897925199999918,15.398457100000087,15.398457100000087,15.398457100000087,15.533409500000289,right,17.0,0,0,0.13159589999986565,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
27,0.5,17.5,15.547911000000113,,15.533581400000003,15.547911000000113,16.048146200000247,16.048146200000247,16.048146200000247,16.14964379999992,right,17.5,0,0,0.08914800000002288,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
28,0.5,18.0,16.16441500000019,,16.149767500000053,16.16441500000019,16.66447960000005,16.66447960000005,16.66447960000005,16.732631800000036,right,18.0,0,0,0.05161160000034215,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
29,0.5,18.5,16.75017680000019,,16.732750300000134,16.75017680000019,17.24794870000005,17.24794870000005,17.264479700000265,17.31614330000002,left,-18.5,1,1,0.052767900000162626,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
30,0.5,18.5,17.330945800000336,,17.316263000000163,17.330945800000336,17.8307176000003,17.8307176000003,17.8307176000003,17.89933020000035,left,-18.5,1,1,0.056358799999998155,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
31,0.5,18.5,17.914169200000288,,17.89945260000013,17.914169200000288,18.41445590000012,18.41445590000012,18.41445590000012,18.450690600000144,right,18.5,0,0,0.031245600000147533,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
32,0.5,19.0,18.46397990000014,,18.45081049999999,18.46397990000014,18.964504300000044,18.964504300000044,18.964504300000044,19.065903600000183,left,-19.0,1,1,0.08683019999989483,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
33,0.5,19.0,19.081247200000234,,19.066016000000218,19.081247200000234,19.58084860000008,19.58084860000008,19.58084860000008,19.634073300000182,left,-19.0,1,1,0.051111300000229676,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
34,0.5,19.0,19.647172800000135,,19.634186300000238,19.647172800000135,20.147409700000026,20.147409700000026,20.147409700000026,20.217240299999958,right,19.0,0,0,0.06759780000038518,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
35,0.5,19.5,20.230118100000254,,20.217373299999963,20.230118100000254,20.730727099999967,20.730727099999967,20.730727099999967,20.849285600000258,right,19.5,0,0,0.11340130000007775,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
36,0.5,20.0,20.864433400000053,,20.849435399999948,20.864433400000053,21.363754299999982,21.363754299999982,21.363754299999982,21.432484599999952,right,20.0,0,0,0.060943999999835796,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
37,0.5,20.0,21.44703120000031,,21.43261110000003,21.44703120000031,21.947115400000257,21.947115400000257,21.947115400000257,22.032769400000234,right,20.0,0,0,0.08068779999985054,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
38,0.5,20.0,22.046771300000273,,22.032916399999976,22.046771300000273,22.547245300000213,22.547245300000213,22.547245300000213,22.61501649999991,left,-20.0,1,1,0.054006700000172714,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
39,0.5,20.0,22.63053089999994,,22.615187100000185,22.63053089999994,23.130329900000106,23.130329900000106,23.130329900000106,23.233954300000278,right,20.0,0,0,0.10147680000000037,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
40,0.5,20.0,23.246730500000012,,23.234067300000333,23.246730500000012,23.747099000000162,23.747099000000162,23.747099000000162,23.86422760000005,right,20.0,0,0,0.10122379999984332,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
41,0.5,20.0,23.88051650000034,,23.86434720000034,23.88051650000034,24.364334899999903,24.364334899999903,24.38042600000017,24.432643800000278,left,-20.0,1,1,0.06582979999984673,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
42,0.5,20.0,24.44648750000033,,24.432753800000228,24.44648750000033,24.947349600000052,24.947349600000052,24.947349600000052,25.06589269999995,left,-20.0,1,1,0.11268259999997099,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
43,0.5,20.0,25.080020300000342,,25.066026899999997,25.080020300000342,25.563491100000192,25.563491100000192,25.580701800000043,25.698398300000008,right,20.0,0,0,0.11901960000022882,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
44,0.5,20.0,25.713111500000196,,25.698523999999907,25.713111500000196,26.213250100000096,26.213250100000096,26.213250100000096,26.297954500000287,right,20.0,0,0,0.07115430000021661,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
45,0.5,20.0,26.313163700000132,,26.298108700000284,26.313163700000132,26.814259199999924,26.814259199999924,26.814259199999924,26.94805290000022,left,-20.0,1,1,0.11802719999968758,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
46,0.5,20.0,26.963336400000117,,26.948181900000236,26.963336400000117,27.463442199999918,27.463442199999918,27.463442199999918,27.564838300000247,left,-20.0,1,1,0.0850921000001108,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
47,0.5,20.0,27.579956500000208,,27.564952900000208,27.579956500000208,28.07969460000004,28.07969460000004,28.07969460000004,28.230706900000314,right,20.0,0,0,0.13965289999987363,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
48,0.5,20.0,28.2460930000002,,28.230823800000053,28.2460930000002,28.7298837000003,28.7298837000003,28.747057600000062,28.83200170000009,right,20.0,0,0,0.09624959999973726,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
49,0.5,20.0,28.8464613000001,,28.832121700000243,28.8464613000001,29.346374600000217,29.346374600000217,29.346374600000217,29.363873700000113,right,20.0,1,1,0.00955439999961527,819727,001,2024-09-11_12h18.45.898,adaptive_staircase,2024.1.5,None,2024-09-11 12h18.48.157452 +0530,
